,Decoy,Item,Option_1,Option_2,Option_3,Choice,CatchTrials,Deliberation_RT,Choice_RT,Too_Slow,Survey_ID,CouplingCondition,PhantomCondition
11639,F,Cordless home phone,B,A,C,C,,10000,1060,0,35271,Low coupling,Undesirable
11640,F,Protein powder,C,B,A,A,,10000,1154.30000001,0,35271,Low coupling,Undesirable
11641,S,Metal detector,A,B,S_A,B,,10000,2262.09999996,0,35271,Low coupling,Undesirable
11642,P,Solar panel system,P_B,B,A,B,,10000,532.800000012,0,35271,Low coupling,Undesirable
11643,C,Lawn mower,B,C_A,A,A,,10000,407.5,0,35271,Low coupling,Undesirable
11644,A,UV lamp,B,A_A,A,B,,10000,683.5,0,35271,Low coupling,Undesirable
11645,A,Smart bulb,A_A,A,B,A,,10000,445.199999988,0,35271,Low coupling,Undesirable
11646,P,Wifi extender,A,B,P_A,A,,10000,535.699999988,0,35271,Low coupling,Undesirable
11647,C,Baby crib,B,A,C_B,B,,10000,377.899999976,0,35271,Low coupling,Undesirable
11648,F,Megaphone,A,B,C,C,,10000,376.400000036,0,35271,Low coupling,Undesirable
11649,S,Air mattress,A,B,S_A,S_A,,10000,367,0,35271,Low coupling,Undesirable
11650,A,Tire inflator,B,A,A_A,B,,10000,367.600000024,0,35271,Low coupling,Undesirable
11651,P,Paint sprayer,P_B,A,B,A,,10000,351.700000048,0,35271,Low coupling,Undesirable
11652,S,Pressure washer,A,B,S_A,B,,10000,614,0,35271,Low coupling,Undesirable
11653,F,Stun gun,B,C,A,C,,10000,366.600000024,0,35271,Low coupling,Undesirable
11654,C,Smart lock,C_B,A,B,B,,10000,424.599999964,0,35271,Low coupling,Undesirable
11655,A,Walker with seat,A_B,A,B,B,,10000,479,0,35271,Low coupling,Undesirable
11656,S,Odor neutralizer,S_A,A,B,B,,10000,425.5,0,35271,Low coupling,Undesirable
11657,C,Lawn mower,A,B,C_B,A,,10000,566.200000048,0,35271,Low coupling,Undesirable
11658,P,Wifi extender,A,B,P_B,A,,10000,426.5,0,35271,Low coupling,Undesirable
11659,F,LED strip lights,A,B,C,C,,10000,790.100000024,0,35271,Low coupling,Undesirable
11660,P,Organic fertilizer,P_A,A,B,A,,10000,407.100000024,0,35271,Low coupling,Undesirable
11661,F,Cordless home phone,C,A,B,C,,10000,582.699999988,0,35271,Low coupling,Undesirable
11662,C,Water heater,A,B,C_B,A,,10000,420.899999976,0,35271,Low coupling,Undesirable
11663,S,Night light,S_A,B,A,A,,10000,586.199999988,0,35271,Low coupling,Undesirable
11664,A,Car seat,A_B,B,A,A,,10000,590.199999988,0,35271,Low coupling,Undesirable
11665,C,Baby crib,A,B,C_A,A,,10000,424.199999988,0,35271,Low coupling,Undesirable
11666,P,Dehumidifier,P_B,B,A,A,,10000,410.699999988,0,35271,Low coupling,Undesirable
11667,F,Megaphone,C,B,A,C,,10000,842.899999976,0,35271,Low coupling,Undesirable
11668,S,Headlight bulbs,A,S_A,B,S_A,,10000,583.200000048,0,35271,Low coupling,Undesirable
11669,A,Leaf Blower,A,B,A_B,B,,10000,1315.60000002,0,35271,Low coupling,Undesirable
11670,F,Fire extinguisher,C,B,A,B,,10000,903.5,0,35271,Low coupling,Undesirable
11671,P,Electric mop,A,B,P_B,A,,10000,468.800000012,0,35271,Low coupling,Undesirable
11672,S,Vacuum,S_A,A,B,A,,10000,445.700000048,0,35271,Low coupling,Undesirable
11673,A,Cloth diapers,A_A,A,B,A,,10000,387.600000024,0,35271,Low coupling,Undesirable
11674,C,Insect repellent,A,C_A,B,B,,10000,388.600000024,0,35271,Low coupling,Undesirable
11675,A,Smart bulb,A,B,A_B,A,,10000,393.899999976,0,35271,Low coupling,Undesirable
11676,S,Air mattress,B,A,S_B,A,,10000,428.800000012,0,35271,Low coupling,Undesirable
11677,C,Mobility scooter,B,C_A,A,A,,10000,516.599999964,0,35271,Low coupling,Undesirable
11678,F,Garbage disposal,C,A,B,C,,10000,375.600000024,0,35271,Low coupling,Undesirable
11679,P,Baby stroller,P_B,A,B,B,,10000,427.700000048,0,35271,Low coupling,Undesirable
11680,F,Protein powder,B,C,A,C,,10000,447.199999988,0,35271,Low coupling,Undesirable
11681,S,Baby high chair,B,A,S_A,B,,10000,374.100000024,0,35271,Low coupling,Undesirable
11682,A,Slow cooker,A_B,B,A,B,,10000,365.699999988,0,35271,Low coupling,Undesirable
11683,P,Outdoor solar lights,B,P_A,A,B,,10000,449.400000036,0,35271,Low coupling,Undesirable
11684,C,Car vacuum,C_B,A,B,B,,10000,384.600000024,0,35271,Low coupling,Undesirable
11685,C,Puree machine,B,A,C_A,A,,10000,556.700000048,0,35271,Low coupling,Undesirable
11686,F,Thermometer gun,A,B,C,C,,10000,474.699999988,0,35271,Low coupling,Undesirable
11687,P,Solar panel system,P_A,A,B,B,,10000,497.600000024,0,35271,Low coupling,Undesirable
11688,S,Metal detector,S_B,A,B,S_B,,10000,524.899999976,0,35271,Low coupling,Undesirable
11689,A,Clothes Steamer,B,A,A_A,B,,10000,393,0,35271,Low coupling,Undesirable
11690,A,UV lamp,A_B,A,B,B,,10000,1398.59999996,0,35271,Low coupling,Undesirable
11691,P,Air purifier,A,P_B,B,B,,10000,558.800000012,0,35271,Low coupling,Undesirable
11692,C,White noise machine,C_B,A,B,B,,10000,566.799999952,0,35271,Low coupling,Undesirable
11693,F,Automatic pet feeder,A,C,B,C,,10000,357.099999964,0,35271,Low coupling,Undesirable
11694,S,Air Fryer Oven,B,A,S_A,B,,10000,468.599999964,0,35271,Low coupling,Undesirable
11695,C,Pesticide,B,A,C_B,B,,10000,500,0,35271,Low coupling,Undesirable
11696,F,Microwave,A,B,C,C,,10000,589.699999988,0,35271,Low coupling,Undesirable
11697,S,Security camera,S_B,B,A,B,,10000,565.399999976,0,35271,Low coupling,Undesirable
11698,P,Countertop blender,B,A,P_B,A,,10000,371.300000012,0,35271,Low coupling,Undesirable
11699,A,Rash cream,B,A_A,A,B,,10000,415.800000012,0,35271,Low coupling,Undesirable
11700,P,Solar panel system,A,B,P_B,B,,10000,330,0,39494,Low coupling,Highly_desirable
11701,S,Night light,S_B,A,B,S_B,,10000,991.399999976,0,39494,Low coupling,Highly_desirable
11702,A,Rash cream,A_A,A,B,B,,10000,1248.5,0,39494,Low coupling,Highly_desirable
11703,F,Wagon cart,C,B,A,C,,10000,1252.19999999,0,39494,Low coupling,Highly_desirable
11704,C,White noise machine,C_B,A,B,C_B,,10000,743.300000012,0,39494,Low coupling,Highly_desirable
11705,S,Air Fryer Oven,S_A,A,B,A,,10000,447.199999988,0,39494,Low coupling,Highly_desirable
11706,A,Tire inflator,A,A_A,B,B,,10000,1410.39999998,0,39494,Low coupling,Highly_desirable
11707,C,Car vacuum,A,B,C_A,A,,10000,338.699999988,0,39494,Low coupling,Highly_desirable
11708,P,Electric mop,P_A,A,B,B,,10000,878,0,39494,Low coupling,Highly_desirable
11709,F,Hearing aid,B,C,A,C,,10000,3245.80000001,0,39494,Low coupling,Highly_desirable
11710,F,Megaphone,C,B,A,C,,10000,1991.5,0,39494,Low coupling,Highly_desirable
11711,P,Baby stroller,P_A,B,A,B,,10000,1347.70000005,0,39494,Low coupling,Highly_desirable
11712,S,Security camera,B,S_A,A,B,,10000,1150.39999998,0,39494,Low coupling,Highly_desirable
11713,C,Smart lock,C_B,A,B,B,,10000,990.100000024,0,39494,Low coupling,Highly_desirable
11714,A,Smart bulb,B,A,A_B,B,,10000,433.699999988,0,39494,Low coupling,Highly_desirable
11715,P,Organic fertilizer,A,B,P_B,B,,10000,2327.5,0,39494,Low coupling,Highly_desirable
11716,S,Metal detector,B,S_B,A,B,,10000,2615.80000001,0,39494,Low coupling,Highly_desirable
11717,F,Rechargeable AA batteries,A,B,C,C,,10000,1374.30000001,0,39494,Low coupling,Highly_desirable
11718,A,Walker with seat,B,A_A,A,B,,10000,363.300000012,0,39494,Low coupling,Highly_desirable
11719,C,Pesticide,B,C_B,A,B,,10000,492.600000024,0,39494,Low coupling,Highly_desirable
11720,F,Inflatable baby pool,B,A,C,C,,10000,383.699999988,0,39494,Low coupling,Highly_desirable
11721,P,Wifi extender,P_B,A,B,A,,10000,1819.59999996,0,39494,Low coupling,Highly_desirable
11722,S,Air mattress,S_B,A,B,B,,10000,389.100000024,0,39494,Low coupling,Highly_desirable
11723,C,Mobility scooter,A,C_A,B,B,,10000,993.5,0,39494,Low coupling,Highly_desirable
11724,A,Car seat,A_A,B,A,B,,10000,774.199999988,0,39494,Low coupling,Highly_desirable
11725,P,Air purifier,P_A,B,A,B,,10000,361.399999976,0,39494,Low coupling,Highly_desirable
11726,S,Odor neutralizer,B,A,S_A,A,,10000,2302.29999995,0,39494,Low coupling,Highly_desirable
11727,F,LED strip lights,A,C,B,C,,10000,1329.10000002,0,39494,Low coupling,Highly_desirable
11728,A,UV lamp,A_A,B,A,A_A,,10000,1289.90000004,0,39494,Low coupling,Highly_desirable
11729,C,Baby crib,A,B,C_A,A,,10000,2553.30000001,0,39494,Low coupling,Highly_desirable
11730,S,Headlight bulbs,A,S_B,B,A,,10000,3193.5,0,39494,Low coupling,Highly_desirable
11731,A,Leaf Blower,A,A_A,B,A,,10000,808.400000036,0,39494,Low coupling,Highly_desirable
11732,P,Outdoor solar lights,P_A,B,A,B,,10000,698.900000036,0,39494,Low coupling,Highly_desirable
11733,F,Alarm clock,A,C,B,C,,10000,443.900000036,0,39494,Low coupling,Highly_desirable
11734,C,Insect repellent,A,B,C_A,A,,10000,881.199999988,0,39494,Low coupling,Highly_desirable
11735,P,Paint sprayer,B,P_B,A,A,,10000,1093.69999999,0,39494,Low coupling,Highly_desirable
11736,A,Clothes Steamer,A,B,A_B,A,,10000,1635,0,39494,Low coupling,Highly_desirable
11737,S,Vacuum,B,A,S_B,S_B,,10000,411.300000012,0,39494,Low coupling,Highly_desirable
11738,C,Lawn mower,B,A,C_B,C_B,,10000,1305.30000001,0,39494,Low coupling,Highly_desirable
11739,F,Kitchen Scale,B,C,A,C,,10000,3635.80000001,0,39494,Low coupling,Highly_desirable
11740,C,Water heater,C_B,A,B,B,,10000,522.800000012,0,39494,Low coupling,Highly_desirable
11741,F,Electric kettle,B,C,A,C,,10000,412.800000012,0,39494,Low coupling,Highly_desirable
11742,S,Baby high chair,A,S_B,B,S_B,,10000,466.199999988,0,39494,Low coupling,Highly_desirable
11743,A,Cloth diapers,A,A_B,B,B,,10000,1824.90000004,0,39494,Low coupling,Highly_desirable
11744,P,Dehumidifier,A,P_A,B,A,,10000,542.5,0,39494,Low coupling,Highly_desirable
11745,F,Automatic pet feeder,B,A,C,B,,10000,616.699999988,0,39494,Low coupling,Highly_desirable
11746,C,Puree machine,B,A,C_A,B,,10000,1047.10000002,0,39494,Low coupling,Highly_desirable
11747,A,Slow cooker,A,A_A,B,A_A,,10000,576.400000036,0,39494,Low coupling,Highly_desirable
11748,S,Pressure washer,S_A,A,B,S_A,,10000,1063.59999996,0,39494,Low coupling,Highly_desirable
11749,P,Countertop blender,A,B,P_A,B,,10000,673.800000012,0,39494,Low coupling,Highly_desirable
11750,A,Tire inflator,A,A_B,B,B,,10000,2027.59999996,0,39494,Low coupling,Highly_desirable
11751,F,Hearing aid,C,B,A,C,,10000,976.599999964,0,39494,Low coupling,Highly_desirable
11752,S,Air mattress,B,A,S_A,B,,10000,1472.40000004,0,39494,Low coupling,Highly_desirable
11753,C,Pesticide,C_A,A,B,A,,10000,550.300000012,0,39494,Low coupling,Highly_desirable
11754,P,Paint sprayer,B,A,P_A,A,,10000,556.5,0,39494,Low coupling,Highly_desirable
11755,S,Air Fryer Oven,B,S_B,A,A,,10000,405,0,39494,Low coupling,Highly_desirable
11756,P,Air purifier,P_B,A,B,B,,10000,1558.5,0,39494,Low coupling,Highly_desirable
11757,A,Rash cream,A_B,A,B,A_B,,10000,752.899999976,0,39494,Low coupling,Highly_desirable
11758,F,Kitchen Scale,B,C,A,A,,10000,1677,0,39494,Low coupling,Highly_desirable
11759,C,Smart lock,C_A,B,A,A,,10000,2207.30000001,0,39494,Low coupling,Highly_desirable
11760,A,UV lamp,A_B,B,A,B,,10000,1391.5,0,39494,Low coupling,Highly_desirable
11761,P,Wifi extender,P_A,A,B,A,,10000,486.800000012,0,39494,Low coupling,Highly_desirable
11762,S,Metal detector,S_A,B,A,A,,10000,385.5,0,39494,Low coupling,Highly_desirable
11763,C,White noise machine,C_A,B,A,B,,10000,183.100000024,0,39494,Low coupling,Highly_desirable
11764,F,Electric kettle,A,C,B,C,,10000,2070.60000002,0,39494,Low coupling,Highly_desirable
11765,A,Leaf Blower,A_B,B,A,A_B,,10000,6.40000003576,0,39494,Low coupling,Highly_desirable
11766,P,Electric mop,B,A,P_B,B,,10000,2510.89999998,0,39494,Low coupling,Highly_desirable
11767,S,Security camera,B,A,S_B,B,,10000,939.400000036,0,39494,Low coupling,Highly_desirable
11768,F,Alarm clock,B,C,A,C,,10000,367,0,39494,Low coupling,Highly_desirable
11769,C,Puree machine,B,A,C_B,B,,10000,2668.09999996,0,39494,Low coupling,Highly_desirable
11770,F,Fire extinguisher,B,A,C,C,,10000,417.400000036,0,39494,Low coupling,Highly_desirable
11771,C,Baby crib,B,A,C_B,B,,10000,970.599999964,0,39494,Low coupling,Highly_desirable
11772,A,Slow cooker,A_B,B,A,A_B,,10000,804.900000036,0,39494,Low coupling,Highly_desirable
11773,S,Headlight bulbs,A,B,S_A,A,,10000,1694.09999996,0,39494,Low coupling,Highly_desirable
11774,P,Dehumidifier,P_B,A,B,B,,10000,1386.80000001,0,39494,Low coupling,Highly_desirable
11775,F,LED strip lights,B,C,A,B,,10000,4446.19999999,0,39494,Low coupling,Highly_desirable
11776,P,Solar panel system,A,B,P_A,B,,10000,1163.79999995,0,39494,Low coupling,Highly_desirable
11777,C,Mobility scooter,B,A,C_B,C_B,,10000,366.5,0,39494,Low coupling,Highly_desirable
11778,S,Night light,B,S_A,A,B,,10000,330,0,39494,Low coupling,Highly_desirable
11779,A,Smart bulb,A,A_A,B,A_A,,10000,567.899999976,0,39494,Low coupling,Highly_desirable
11780,A,Clothes Steamer,A_A,B,A,B,,10000,1163.39999998,0,39494,Low coupling,Highly_desirable
11781,F,Automatic pet feeder,C,B,A,C,,10000,1301.69999999,0,39494,Low coupling,Highly_desirable
11782,P,Baby stroller,B,P_B,A,B,,10000,247.699999988,0,39494,Low coupling,Highly_desirable
11783,S,Vacuum,A,S_A,B,B,,10000,269.699999988,0,39494,Low coupling,Highly_desirable
11784,C,Lawn mower,A,C_A,B,A,,10000,3598.10000002,0,39494,Low coupling,Highly_desirable
11785,C,Car vacuum,C_B,B,A,B,,10000,322,0,39494,Low coupling,Highly_desirable
11786,F,Rechargeable AA batteries,C,A,B,C,,10000,300,0,39494,Low coupling,Highly_desirable
11787,A,Walker with seat,B,A,A_B,B,,10000,1866.20000005,0,39494,Low coupling,Highly_desirable
11788,P,Countertop blender,P_B,B,A,A,,10000,1023.30000001,0,39494,Low coupling,Highly_desirable
11789,S,Odor neutralizer,B,A,S_B,B,,10000,437.600000024,0,39494,Low coupling,Highly_desirable
11790,F,Inflatable baby pool,B,C,A,C,,10000,337.299999952,0,39494,Low coupling,Highly_desirable
11791,C,Insect repellent,B,C_B,A,B,,10000,299.900000036,0,39494,Low coupling,Highly_desirable
11792,A,Cloth diapers,A_A,B,A,A,,10000,909.299999952,0,39494,Low coupling,Highly_desirable
11793,P,Organic fertilizer,A,B,P_A,B,,10000,900.200000048,0,39494,Low coupling,Highly_desirable
11794,S,Baby high chair,B,S_A,A,B,,10000,357.800000012,0,39494,Low coupling,Highly_desirable
11795,A,Car seat,A_B,B,A,A,,10000,364.699999988,0,39494,Low coupling,Highly_desirable
11796,C,Water heater,C_A,A,B,A,,10000,1047.40000004,0,39494,Low coupling,Highly_desirable
11797,P,Outdoor solar lights,P_B,B,A,A,,10000,1395,0,39494,Low coupling,Highly_desirable
11798,S,Pressure washer,A,B,S_B,S_B,,10000,2900.10000002,0,39494,Low coupling,Highly_desirable
11799,F,Baby rocker,C,A,B,C,,10000,2826.90000004,0,39494,Low coupling,Highly_desirable
11800,F,LED strip lights,B,C,A,C,,10000,1076.4,0,42993,High coupling,Weakly_desirable
11801,A,Car seat,A_B,B,A,B,,10000,609.9,0,42993,High coupling,Weakly_desirable
11802,S,Vacuum,B,A,S_B,S_B,,10000,663.4,0,42993,High coupling,Weakly_desirable
11803,P,Outdoor solar lights,B,P_B,A,B,,10000,3107.9,0,42993,High coupling,Weakly_desirable
11804,C,Car vacuum,C_A,A,B,C_A,,10000,1570.9,0,42993,High coupling,Weakly_desirable
11805,A,Leaf Blower,B,A,A_A,A_A,,10000,1092,0,42993,High coupling,Weakly_desirable
11806,S,Odor neutralizer,B,S_A,A,B,,10000,536.600000001,0,42993,High coupling,Weakly_desirable
11807,F,Microwave,A,C,B,B,,10000,519.200000001,0,42993,High coupling,Weakly_desirable
11808,P,Wifi extender,B,P_B,A,B,,10000,545.4,0,42993,High coupling,Weakly_desirable
11809,C,Mobility scooter,A,B,C_A,B,,10000,315.5,0,42993,High coupling,Weakly_desirable
11810,S,Pressure washer,A,S_A,B,B,,10000,391.299999999,0,42993,High coupling,Weakly_desirable
11811,F,Rechargeable AA batteries,B,C,A,B,,10000,295.299999999,0,42993,High coupling,Weakly_desirable
11812,A,Tire inflator,A,B,A_B,A_B,,10000,526.1,0,42993,High coupling,Weakly_desirable
11813,C,Puree machine,B,A,C_A,B,,10000,409.799999999,0,42993,High coupling,Weakly_desirable
11814,P,Baby stroller,B,A,P_B,B,,10000,388.800000001,0,42993,High coupling,Weakly_desirable
11815,F,Outdoor TV antenna,C,B,A,C,,10000,2668.6,0,42993,High coupling,Weakly_desirable
11816,A,Slow cooker,A,A_B,B,A,,10000,584.699999999,0,42993,High coupling,Weakly_desirable
11817,P,Solar panel system,B,P_B,A,A,,10000,524.6,0,42993,High coupling,Weakly_desirable
11818,C,White noise machine,C_B,A,B,A,,10000,1223.6,0,42993,High coupling,Weakly_desirable
11819,S,Headlight bulbs,B,S_B,A,B,,10000,1123.8,0,42993,High coupling,Weakly_desirable
11820,A,Clothes Steamer,A,B,A_A,A_A,,10000,584.1,0,42993,High coupling,Weakly_desirable
11821,C,Water heater,B,C_A,A,B,,10000,484.6,0,42993,High coupling,Weakly_desirable
11822,S,Metal detector,S_A,B,A,A,,10000,676.4,0,42993,High coupling,Weakly_desirable
11823,P,Countertop blender,P_B,B,A,A,,10000,2554,0,42993,High coupling,Weakly_desirable
11824,F,Protein powder,B,A,C,B,,10000,358.9,0,42993,High coupling,Weakly_desirable
11825,P,Dehumidifier,B,P_B,A,B,,10000,261.300000001,0,42993,High coupling,Weakly_desirable
11826,S,Night light,S_A,A,B,S_A,,10000,895.9,0,42993,High coupling,Weakly_desirable
11827,C,Baby crib,A,C_A,B,C_A,,10000,685.5,0,42993,High coupling,Weakly_desirable
11828,F,Garbage disposal,A,C,B,B,,10000,473.800000001,0,42993,High coupling,Weakly_desirable
11829,A,Smart bulb,A_A,A,B,A_A,,10000,499.300000001,0,42993,High coupling,Weakly_desirable
11830,A,UV lamp,A_B,B,A,A_B,,10000,690.5,0,42993,High coupling,Weakly_desirable
11831,C,Smart lock,B,A,C_B,C_B,,10000,464.299999999,0,42993,High coupling,Weakly_desirable
11832,F,Stun gun,A,C,B,A,,10000,641.5,0,42993,High coupling,Weakly_desirable
11833,S,Air Fryer Oven,S_B,A,B,A,,10000,612,0,42993,High coupling,Weakly_desirable
11834,P,Organic fertilizer,A,P_A,B,B,,10000,586.200000001,0,42993,High coupling,Weakly_desirable
11835,C,Insect repellent,C_A,A,B,C_A,,10000,556.699999999,0,42993,High coupling,Weakly_desirable
11836,A,Cloth diapers,B,A,A_B,A_B,,10000,429.199999999,0,42993,High coupling,Weakly_desirable
11837,P,Air purifier,B,P_A,A,B,,10000,316.300000001,0,42993,High coupling,Weakly_desirable
11838,S,Baby high chair,B,A,S_B,B,,10000,1347,0,42993,High coupling,Weakly_desirable
11839,F,Thermometer gun,C,B,A,C,,10000,299246.5,1,42993,High coupling,Weakly_desirable
11840,A,Rash cream,A,A_B,B,A_B,,10000,1291,0,42993,High coupling,Weakly_desirable
11841,P,Paint sprayer,P_A,A,B,B,,10000,1189.7,0,42993,High coupling,Weakly_desirable
11842,S,Security camera,B,A,S_B,B,,10000,1069,0,42993,High coupling,Weakly_desirable
11843,F,Hearing aid,B,C,A,A,,10000,1140.5,0,42993,High coupling,Weakly_desirable
11844,C,Pesticide,A,B,C_B,A,,10000,302,0,42993,High coupling,Weakly_desirable
11845,S,Air mattress,S_A,A,B,A,,10000,2418.4,0,42993,High coupling,Weakly_desirable
11846,A,Walker with seat,A_A,B,A,A_A,,10000,862.199999999,0,42993,High coupling,Weakly_desirable
11847,C,Lawn mower,B,C_A,A,B,,10000,947.699999999,0,42993,High coupling,Weakly_desirable
11848,P,Electric mop,P_A,B,A,A,,10000,987.9,0,42993,High coupling,Weakly_desirable
11849,F,Automatic pet feeder,C,B,A,C,,10000,813.800000001,0,42993,High coupling,Weakly_desirable
11850,S,Night light,S_B,A,B,A,,10000,1246.6,0,42993,High coupling,Weakly_desirable
11851,F,Wagon cart,B,A,C,B,,10000,1026.9,0,42993,High coupling,Weakly_desirable
11852,P,Electric mop,A,B,P_B,A,,10000,5002.7,1,42993,High coupling,Weakly_desirable
11853,A,Leaf Blower,A,B,A_B,A_B,,10000,745.300000001,0,42993,High coupling,Weakly_desirable
11854,C,Puree machine,C_B,B,A,C_B,,10000,384,0,42993,High coupling,Weakly_desirable
11855,F,Thermometer gun,A,B,C,C,,10000,1216.7,0,42993,High coupling,Weakly_desirable
11856,S,Security camera,B,S_A,A,B,,10000,948.5,0,42993,High coupling,Weakly_desirable
11857,A,Rash cream,B,A_A,A,B,,10000,2545.8,0,42993,High coupling,Weakly_desirable
11858,C,Lawn mower,A,C_B,B,B,,10000,1716.9,0,42993,High coupling,Weakly_desirable
11859,P,Wifi extender,A,P_A,B,A,,10000,3758.8,0,42993,High coupling,Weakly_desirable
11860,S,Vacuum,B,S_A,A,A,,10000,1363.6,0,42993,High coupling,Weakly_desirable
11861,A,Cloth diapers,A,A_A,B,A,,10000,1042.1,0,42993,High coupling,Weakly_desirable
11862,P,Solar panel system,P_A,A,B,A,,10000,4764.1,0,42993,High coupling,Weakly_desirable
11863,C,Water heater,C_B,A,B,B,,10000,9197.2,1,42993,High coupling,Weakly_desirable
11864,F,Garbage disposal,C,A,B,A,,10000,3241.7,0,42993,High coupling,Weakly_desirable
11865,P,Dehumidifier,A,B,P_A,A,,10000,1056.3,0,42993,High coupling,Weakly_desirable
11866,S,Headlight bulbs,A,B,S_A,S_A,,10000,10647.7,1,42993,High coupling,Weakly_desirable
11867,F,Outdoor TV antenna,C,B,A,C,,10000,4011.5,0,42993,High coupling,Weakly_desirable
11868,A,Clothes Steamer,A,B,A_B,A_B,,10000,1614.9,0,42993,High coupling,Weakly_desirable
11869,C,Pesticide,C_A,B,A,C_A,,10000,1226.1,0,42993,High coupling,Weakly_desirable
11870,C,White noise machine,A,C_A,B,B,,10000,943,0,42993,High coupling,Weakly_desirable
11871,A,Slow cooker,A,B,A_A,A,,10000,7694.3,1,42993,High coupling,Weakly_desirable
11872,P,Paint sprayer,B,P_B,A,B,,10000,2656.2,0,42993,High coupling,Weakly_desirable
11873,F,LED strip lights,B,C,A,C,,10000,1440.4,0,42993,High coupling,Weakly_desirable
11874,S,Air mattress,S_B,B,A,S_B,,10000,1414.4,0,42993,High coupling,Weakly_desirable
11875,C,Insect repellent,A,C_B,B,B,,10000,5864.8,1,42993,High coupling,Weakly_desirable
11876,A,Smart bulb,B,A_B,A,B,,10000,2913.4,0,42993,High coupling,Weakly_desirable
11877,S,Metal detector,S_B,A,B,B,,10000,1190.8,0,42993,High coupling,Weakly_desirable
11878,F,Hearing aid,B,C,A,B,,10000,1485.6,0,42993,High coupling,Weakly_desirable
11879,P,Countertop blender,A,B,P_A,B,,10000,1320,0,42993,High coupling,Weakly_desirable
11880,S,Air Fryer Oven,A,B,S_A,A,,10000,2562,0,42993,High coupling,Weakly_desirable
11881,C,Car vacuum,A,B,C_B,C_B,,10000,1257.3,0,42993,High coupling,Weakly_desirable
11882,A,UV lamp,A,A_A,B,A,,10000,4053.1,0,42993,High coupling,Weakly_desirable
11883,F,Stun gun,B,A,C,B,,10000,12633,1,42993,High coupling,Weakly_desirable
11884,P,Outdoor solar lights,B,A,P_A,A,,10000,2760.2,0,42993,High coupling,Weakly_desirable
11885,C,Mobility scooter,A,C_B,B,B,,10000,1480.7,0,42993,High coupling,Weakly_desirable
11886,F,Baby rocker,B,C,A,C,,10000,1077.6,0,42993,High coupling,Weakly_desirable
11887,S,Pressure washer,S_B,B,A,A,,10000,6227.6,1,42993,High coupling,Weakly_desirable
11888,P,Organic fertilizer,P_B,B,A,A,,10000,708.299999999,0,42993,High coupling,Weakly_desirable
11889,A,Car seat,B,A_A,A,B,,10000,8978,1,42993,High coupling,Weakly_desirable
11890,P,Air purifier,P_B,B,A,A,,10000,2719.3,0,42993,High coupling,Weakly_desirable
11891,C,Smart lock,C_A,B,A,C_A,,10000,1335.4,0,42993,High coupling,Weakly_desirable
11892,F,Rechargeable AA batteries,C,B,A,A,,10000,1589.1,0,42993,High coupling,Weakly_desirable
11893,A,Tire inflator,B,A,A_A,B,,10000,1470.7,0,42993,High coupling,Weakly_desirable
11894,S,Odor neutralizer,S_B,A,B,B,,10000,1837.4,0,42993,High coupling,Weakly_desirable
11895,C,Baby crib,A,B,C_B,A,,10000,1652.1,0,42993,High coupling,Weakly_desirable
11896,F,Microwave,A,B,C,C,,10000,1330.9,0,42993,High coupling,Weakly_desirable
11897,S,Baby high chair,S_A,A,B,S_A,,10000,1231.5,0,42993,High coupling,Weakly_desirable
11898,P,Baby stroller,B,P_A,A,A,,10000,1201.6,0,42993,High coupling,Weakly_desirable
11899,A,Walker with seat,A_B,A,B,A_B,,10000,1143,0,42993,High coupling,Weakly_desirable
11900,A,Smart bulb,A,A_B,B,A_B,,10000,1293,0,42606,Low coupling,Highly_desirable
11901,F,Microwave,C,B,A,A,,10000,712,0,42606,Low coupling,Highly_desirable
11902,S,Vacuum,A,B,S_A,B,,10000,2111,0,42606,Low coupling,Highly_desirable
11903,P,Paint sprayer,P_A,B,A,A,,10000,5133,1,42606,Low coupling,Highly_desirable
11904,C,Insect repellent,C_B,B,A,A,,10000,2816.0,0,42606,Low coupling,Highly_desirable
11905,P,Outdoor solar lights,P_B,B,A,B,,10000,1830,0,42606,Low coupling,Highly_desirable
11906,A,UV lamp,A_B,A,B,A_B,,10000,403.0,0,42606,Low coupling,Highly_desirable
11907,F,Megaphone,C,A,B,A,,10000,3433,0,42606,Low coupling,Highly_desirable
11908,C,Mobility scooter,A,B,C_A,A,,10000,1772,0,42606,Low coupling,Highly_desirable
11909,S,Security camera,A,S_B,B,B,,10000,574,0,42606,Low coupling,Highly_desirable
11910,A,Cloth diapers,A,A_B,B,A_B,,10000,391,0,42606,Low coupling,Highly_desirable
11911,P,Solar panel system,A,P_B,B,B,,10000,1782,0,42606,Low coupling,Highly_desirable
11912,F,Kitchen Scale,C,A,B,C,,10000,1206.0,0,42606,Low coupling,Highly_desirable
11913,C,Puree machine,C_B,A,B,B,,10000,468,0,42606,Low coupling,Highly_desirable
11914,S,Headlight bulbs,A,S_B,B,A,,10000,2003,0,42606,Low coupling,Highly_desirable
11915,C,Baby crib,B,C_B,A,C_B,,10000,438,0,42606,Low coupling,Highly_desirable
11916,F,Baby rocker,A,C,B,C,,10000,542,0,42606,Low coupling,Highly_desirable
11917,P,Dehumidifier,B,A,P_B,B,,10000,612,0,42606,Low coupling,Highly_desirable
